id,platform,product_id,name,current_price,original_price,rating,review_count,store_name,category,details,image_url,crawled_at,last_updated
1,Amazon,AMZ_NOTEBOOK_0001,Canon Action Camera Camera Notebook Model 1,2014.00,2071.00,4.40,3854,,Cameras & Photography,"""{\""megapixels\"": \""40\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_1.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
2,Amazon,AMZ_NOTEBOOK_0002,Sony Bridge Camera Notebook Model 2,1206.00,1479.00,3.60,48300,,Cameras & Photography,"""{\""megapixels\"": \""16\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_2.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
3,Amazon,AMZ_NOTEBOOK_0003,Nikon Bridge Camera Notebook Model 3,1928.00,2156.00,3.60,45031,,Cameras & Photography,"""{\""megapixels\"": \""37\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_3.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
4,Amazon,AMZ_NOTEBOOK_0004,Fujifilm Mirrorless Camera Notebook Model 4,2689.00,2977.00,3.90,43587,,Cameras & Photography,"""{\""megapixels\"": \""18\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_4.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
5,Amazon,AMZ_NOTEBOOK_0005,Fujifilm Bridge Camera Notebook Model 5,1909.00,2174.00,4.50,38313,,Cameras & Photography,"""{\""megapixels\"": \""37\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_5.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
6,Amazon,AMZ_NOTEBOOK_0006,Nikon Bridge Camera Notebook Model 6,1638.00,1900.00,3.70,21341,,Cameras & Photography,"""{\""megapixels\"": \""49\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_6.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
7,Amazon,AMZ_NOTEBOOK_0007,Fujifilm Action Camera Camera Notebook Model 7,2243.00,2416.00,3.60,1284,,Cameras & Photography,"""{\""megapixels\"": \""34\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_7.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
8,Amazon,AMZ_NOTEBOOK_0008,Nikon Bridge Camera Notebook Model 8,2788.00,2839.00,4.70,37327,,Cameras & Photography,"""{\""megapixels\"": \""24\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_8.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
9,Amazon,AMZ_NOTEBOOK_0009,Panasonic Bridge Camera Notebook Model 9,2845.00,2987.00,4.30,27804,,Cameras & Photography,"""{\""megapixels\"": \""48\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_9.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
10,Amazon,AMZ_NOTEBOOK_0010,Sony DSLR Camera Notebook Model 10,2840.00,3111.00,3.60,24819,,Cameras & Photography,"""{\""megapixels\"": \""30\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_10.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
11,Amazon,AMZ_NOTEBOOK_0011,Fujifilm Mirrorless Camera Notebook Model 11,2999.00,3087.00,4.80,47096,,Cameras & Photography,"""{\""megapixels\"": \""33\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_11.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
12,Amazon,AMZ_NOTEBOOK_0012,Sony Mirrorless Camera Notebook Model 12,1875.00,2047.00,4.60,36365,,Cameras & Photography,"""{\""megapixels\"": \""30\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_12.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
13,Amazon,AMZ_NOTEBOOK_0013,Canon DSLR Camera Notebook Model 13,1328.00,1609.00,4.30,46071,,Cameras & Photography,"""{\""megapixels\"": \""26\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_13.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
14,Amazon,AMZ_NOTEBOOK_0014,Nikon Action Camera Camera Notebook Model 14,2985.00,3080.00,3.90,15441,,Cameras & Photography,"""{\""megapixels\"": \""19\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_14.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
15,Amazon,AMZ_NOTEBOOK_0015,Fujifilm DSLR Camera Notebook Model 15,2774.00,3046.00,4.60,19827,,Cameras & Photography,"""{\""megapixels\"": \""48\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_15.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
16,Amazon,AMZ_NOTEBOOK_0016,Sony Bridge Camera Notebook Model 16,1971.00,2131.00,4.80,31587,,Cameras & Photography,"""{\""megapixels\"": \""42\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_16.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
17,Amazon,AMZ_NOTEBOOK_0017,Canon Compact Camera Notebook Model 17,875.00,1015.00,3.60,47061,,Cameras & Photography,"""{\""megapixels\"": \""42\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_17.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
18,Amazon,AMZ_NOTEBOOK_0018,Fujifilm Mirrorless Camera Notebook Model 18,2224.00,2470.00,3.70,47454,,Cameras & Photography,"""{\""megapixels\"": \""40\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_18.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
19,Amazon,AMZ_NOTEBOOK_0019,Fujifilm Compact Camera Notebook Model 19,2162.00,2422.00,4.70,37217,,Cameras & Photography,"""{\""megapixels\"": \""18\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_19.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
20,Amazon,AMZ_NOTEBOOK_0020,Nikon Bridge Camera Notebook Model 20,2949.00,3070.00,4.70,45362,,Cameras & Photography,"""{\""megapixels\"": \""48\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_20.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
21,Amazon,AMZ_NOTEBOOK_0021,GoPro Action Camera Camera Notebook Model 21,712.00,948.00,3.80,1545,,Cameras & Photography,"""{\""megapixels\"": \""24\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_21.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
22,Amazon,AMZ_NOTEBOOK_0022,Canon DSLR Camera Notebook Model 22,2762.00,2823.00,3.80,26456,,Cameras & Photography,"""{\""megapixels\"": \""41\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_22.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
23,Amazon,AMZ_NOTEBOOK_0023,GoPro Action Camera Camera Notebook Model 23,2206.00,2266.00,3.90,17509,,Cameras & Photography,"""{\""megapixels\"": \""38\"", \""sensor\"": \""CMOS\"", \""video\"": \""4K\""}""",https://images.amazon.com/notebook_23.jpg,2026-01-29 15:57:38,2026-01-30 16:56:38
